"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1O7IewXLQ05bsmtxhjup5Z","Ayuda del sueño","spotify:artist:4ISN0WKs075rlm4GlDbwaw, spotify:artist:4wOctydAFbyyTfgaajJLgV, spotify:artist:75eB141hTT6dGG8SE08veL","Musica relajante dormir, Música de relajación profunda, Sonidos De Aves","spotify:album:2VHD5aF2KxBV4PQPvr4OMR","Musica relajante dormir - Sonidos de la naturaleza - Música para dormir profundamente, música para relajarse, música suave para dormir y música para curar el insomnio","spotify:artist:4ISN0WKs075rlm4GlDbwaw, spotify:artist:4wOctydAFbyyTfgaajJLgV, spotify:artist:75eB141hTT6dGG8SE08veL","Musica relajante dormir, Música de relajación profunda, Sonidos De Aves","2020-08-24","https://i.scdn.co/image/ab67616d0000b2730c2c997ebf37d611aad9df44","1","2","129310","https://p.scdn.co/mp3-preview/24b567857347c54f96e056f3738ffde90e1e5f72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:23Z","0.277","0.23","7","-16.739","1","0.0287","0.103","0.776","0.291","0.0393","85.222","3"
"spotify:track:5aQIUHSAtSlQIO0Voj5f1l","El Beso","spotify:artist:5f0qikBnI85ictSqqKmnmF","La Candela","spotify:album:4pKnwZoYix6zOEx6yuC7n6","Musica para Meditar y Sonidos para Controlar la Ansiedad","spotify:artist:5f0qikBnI85ictSqqKmnmF","La Candela","2017-05-16","https://i.scdn.co/image/ab67616d0000b27391108b43448c45276af9f499","1","12","332999","https://p.scdn.co/mp3-preview/67a45140f8bd0b232bb1bc9503c8c014aa527eb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.143","0.0848","5","-25.972","0","0.0385","0.98","0.933","0.0998","0.114","80.671","4"
"spotify:track:3YTLSZiITJCC7WAQ4ZUefB","Mind Body Wellness (Healing Music)","spotify:artist:1c7PHixSIygFIFVXCbcr28","Spirit Of Grace","spotify:album:32M4FUOpIAEoXi4GrYjmtn","Grace: Calming Peaceful Music, Relaxation Meditation Healing Music 4 Well Being, Wellness, Spa, Yoga, Harmony & Serenity Relaxation","spotify:artist:1c7PHixSIygFIFVXCbcr28","Spirit Of Grace","2013-06-27","https://i.scdn.co/image/ab67616d0000b273aa68a675cbe4b2945899d5da","1","2","407043","https://p.scdn.co/mp3-preview/950f6517263a8ea5921d37cfdb9948fada3d45f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.128","0.144","0","-22.941","0","0.0394","0.905","0.833","0.129","0.0388","71.931","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:24Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:25Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:25Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:5Rw0EkxdzyzvPFU8EWl6aM","Relaxing Sleep (Meditation Music)","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","spotify:album:6fLKnQdRSsI2mLm7CAl7d5","Sea Relaxation - Seagulls, Dolphins, Waves & Ocean Critter Sounds","spotify:artist:5FtQN2p2grB2K0NzOgrCna","Healing Markrain","2019-04-11","https://i.scdn.co/image/ab67616d0000b2735c71af458beb093978841f81","1","3","386638","https://p.scdn.co/mp3-preview/cf78c52f1a9d29816bfd460e130ae968d4742657?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:26Z","0.161","0.599","1","-20.989","1","0.117","0.8","0.00155","0.347","0.0351","89.949","4"
"spotify:track:6pc1crqw25ASby5v9WXckc","Conexiones de Sensibilidad","spotify:artist:5R7pZ9zJ55KUhYXOKMXLR4","Música De Relajación Para Dormir Profundamente","spotify:album:3l2tJbm6OVhytupdAiAXvj","Música del Sueño: Sonidos Relajantes para el Alma","spotify:artist:5R7pZ9zJ55KUhYXOKMXLR4","Música De Relajación Para Dormir Profundamente","2019-03-07","https://i.scdn.co/image/ab67616d0000b27372e7bb556808a4e85e4892e4","1","16","225874","https://p.scdn.co/mp3-preview/863c5c548d0108318cd93d10111ca2876c0fcc8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi","2022-02-12T09:13:28Z","0.0748","0.000566","0","-31.444","1","0.0664","0.84","0.965","0.0979","0.0309","173.285","4"
